"TOA5","9810","CR3000","9810","CR3000.Std.32.03","CPU:CPk_BBSF_EC7m_20190519.CR3","56695","TimeSeriesData"
"TIMESTAMP","RECORD","Ux_CSAT3B","Uy_CSAT3B","Uz_CSAT3B","Ts_CSAT3B","rho_c_LI7500","rho_v_LI7500","P_LI7500","DIAG_LI7500"
"TS","RN","m/s","m/s","m/s","C","mg/m^3","g/m^3","kPa","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-20 02:30:00.1",1106409865,3.98875,-0.588,1.88925,-8.704926,597.9388,0.4850025,73.29456,248
"2022-11-20 02:30:00.2",1106409866,4.50775,-0.4085,0.75925,-8.808777,598.0726,0.4808879,73.32056,248
"2022-11-20 02:30:00.3",1106409867,4.6915,0.109,0.52575,-8.763336,597.937,0.4836229,73.32056,248
"2022-11-20 02:30:00.4",1106409868,4.14675,1.114,0.69675,-8.834717,598.0682,0.4859573,73.29552,248
"2022-11-20 02:30:00.5",1106409869,3.1585,1.22425,-0.01,-8.666016,598.3018,0.4879558,73.29552,248
"2022-11-20 02:30:00.6",1106409870,3.85925,1.40225,0.0525,-8.889862,598.2457,0.4874057,73.29552,248
"2022-11-20 02:30:00.7",1106409871,3.55575,1.535,0.31075,-8.912598,598.2144,0.4862338,73.32056,248
"2022-11-20 02:30:00.8",1106409872,3.4335,1.54425,0.29925,-8.833099,598.1751,0.4855608,73.29552,248
"2022-11-20 02:30:00.9",1106409873,2.7545,2.0485,0.234,-8.87204,598.2771,0.4880282,73.29552,248
"2022-11-20 02:30:01",1106409874,1.42125,2.799,-0.7355,-8.844482,598.4635,0.4888692,73.29552,248
"2022-11-20 02:30:01.1",1106409875,2.24975,2.00325,-0.9185001,-8.850952,598.3193,0.4888968,73.29552,248
"2022-11-20 02:30:01.2",1106409876,2.6105,1.61,-0.3815,-8.758484,598.4068,0.48962,73.29552,248
"2022-11-20 02:30:01.3",1106409877,2.36075,1.46875,-0.12625,-8.735748,598.3766,0.489246,73.29552,248
"2022-11-20 02:30:01.4",1106409878,2.15325,1.69075,-0.15325,-8.841217,598.5302,0.4909236,73.29552,248
"2022-11-20 02:30:01.5",1106409879,2.489,1.6775,-0.15325,-8.821777,598.4172,0.4871713,73.29552,248
"2022-11-20 02:30:01.6",1106409880,2.763,1.16025,-0.402,-8.816864,598.2523,0.4878885,73.29552,248
"2022-11-20 02:30:01.7",1106409881,4.22375,0.779,-1.51025,-8.521606,598.012,0.4822861,73.29552,248
"2022-11-20 02:30:01.8",1106409882,4.75775,1.3235,-1.64525,-8.685455,597.8565,0.4763371,73.29552,248
"2022-11-20 02:30:01.9",1106409883,4.33325,1.7125,-1.07675,-8.64328,597.6707,0.4791487,73.29552,248
"2022-11-20 02:30:02",1106409884,4.63375,1.9095,-1.106,-8.592957,597.7592,0.4772196,73.29552,248
"2022-11-20 02:30:02.1",1106409885,4.3565,2.1745,-1.27525,-8.867126,597.666,0.476549,73.29552,248
"2022-11-20 02:30:02.2",1106409886,5.58325,1.3975,-1.48725,-8.605988,597.8347,0.4812858,73.29552,248
"2022-11-20 02:30:02.3",1106409887,4.6625,2.5085,-2.25275,-8.576752,597.7071,0.4753117,73.29552,248
"2022-11-20 02:30:02.4",1106409888,5.608,2.3015,-2.63625,-8.63678,597.5569,0.4779029,73.29552,248
"2022-11-20 02:30:02.5",1106409889,5.179,1.16225,-2.5165,-8.675751,597.7205,0.4794506,73.32056,248
"2022-11-20 02:30:02.6",1106409890,5.715,0.54275,-2.483,-8.734131,597.5179,0.4772359,73.32056,248
"2022-11-20 02:30:02.7",1106409891,4.63475,-0.1295,-2.874,-8.63678,597.8484,0.4812876,73.29552,248
"2022-11-20 02:30:02.8",1106409892,4.563,-0.37975,-2.90225,-8.659515,597.816,0.4832815,73.29552,248
"2022-11-20 02:30:02.9",1106409893,4.57075,0.0005,-1.8655,-8.631927,597.9081,0.4790054,73.29552,248
"2022-11-20 02:30:03",1106409894,4.07,0.7035,-1.93875,-8.558868,597.8007,0.4755301,73.29552,248
"2022-11-20 02:30:03.1",1106409895,3.97775,0.5325,-2.3255,-8.545929,597.7322,0.4755706,73.29552,248
"2022-11-20 02:30:03.2",1106409896,3.37925,1.02625,-1.507,-8.526459,597.7255,0.4750085,73.29552,248
"2022-11-20 02:30:03.3",1106409897,4.31225,1.02025,-1.60775,-8.576752,597.5827,0.4735541,73.29552,248
"2022-11-20 02:30:03.4",1106409898,3.674,0.99775,-2.0365,-8.459869,597.5038,0.4736526,73.29552,248
"2022-11-20 02:30:03.5",1106409899,4.47325,0.8515,-2.36325,-8.474487,597.5155,0.4698704,73.29552,248
"2022-11-20 02:30:03.6",1106409900,3.9605,0.6012501,-2.502,-8.539429,597.5024,0.4724915,73.29456,248
"2022-11-20 02:30:03.7",1106409901,3.46725,1.2075,-2.24075,-8.601074,597.5726,0.4717,73.29649,248
"2022-11-20 02:30:03.8",1106409902,3.17625,1.10075,-1.901,-8.455017,597.5582,0.4705484,73.29649,248
"2022-11-20 02:30:03.9",1106409903,2.8345,0.9215,-1.831,-8.456665,597.5291,0.4711623,73.29649,248
"2022-11-20 02:30:04",1106409904,2.4055,0.90075,-1.78875,-8.443665,597.6218,0.4738435,73.29649,248
"2022-11-20 02:30:04.1",1106409905,3.0995,0.3355,-2.333,-8.61731,597.6712,0.4686531,73.29649,248
"2022-11-20 02:30:04.2",1106409906,3.379,-0.265,-2.6415,-8.687103,597.9171,0.4787397,73.29552,248
"2022-11-20 02:30:04.3",1106409907,3.8355,-0.60675,-1.62825,-8.63678,597.9661,0.4791941,73.29552,248
"2022-11-20 02:30:04.4",1106409908,3.9065,-1.0975,-1.85875,-8.761719,598.199,0.4861414,73.29552,248
"2022-11-20 02:30:04.5",1106409909,4.066,-0.6435,-2.36875,-8.773102,598.0801,0.4836538,73.29552,248
"2022-11-20 02:30:04.6",1106409910,4.01875,0.8505,-1.9995,-8.531281,597.8082,0.4770717,73.29456,248
"2022-11-20 02:30:04.7",1106409911,3.8365,0.89825,-1.91525,-8.589722,597.5928,0.4762086,73.3196,248
"2022-11-20 02:30:04.8",1106409912,4.057,0.90425,-1.08275,-8.59137,597.7238,0.4749076,73.32056,248
"2022-11-20 02:30:04.9",1106409913,3.60375,1.6135,-1.34575,-8.601074,597.5479,0.4764426,73.29552,248
"2022-11-20 02:30:05",1106409914,4.67575,1.2565,-1.5005,-8.63031,597.6942,0.4760156,73.29552,248
"2022-11-20 02:30:05.1",1106409915,3.86575,1.62025,-2.01775,-8.506989,597.7479,0.4766881,73.29456,248
"2022-11-20 02:30:05.2",1106409916,3.99375,1.1235,-2.23125,-8.560516,597.7657,0.4749575,73.29552,248
"2022-11-20 02:30:05.3",1106409917,3.30825,1.137,-2.22075,-8.571899,597.6473,0.4743779,73.29552,248
"2022-11-20 02:30:05.4",1106409918,3.20725,1.2265,-1.47,-8.549194,597.6481,0.4728335,73.29552,248
"2022-11-20 02:30:05.5",1106409919,2.3395,1.2455,-1.406,-8.506989,597.7456,0.4763934,73.29552,248
"2022-11-20 02:30:05.6",1106409920,2.007,0.6267501,-1.37975,-8.63678,597.8063,0.4737395,73.29552,248
"2022-11-20 02:30:05.7",1106409921,1.88475,0.03525,-1.08975,-8.549194,597.6965,0.475149,73.29456,248
"2022-11-20 02:30:05.8",1106409922,2.95275,0.60825,-0.82675,-8.588104,597.7314,0.4720803,73.29552,248
"2022-11-20 02:30:05.9",1106409923,2.5965,0.56875,-1.098,-8.615692,597.5668,0.4730678,73.29552,248
"2022-11-20 02:30:06",1106409924,3.56625,0.1215,-1.34425,-8.555664,597.7714,0.4719263,73.29552,248
"2022-11-20 02:30:06.1",1106409925,4.12625,0.524,-1.37,-8.550812,597.8568,0.4761025,73.32056,248
"2022-11-20 02:30:06.2",1106409926,3.41375,0.3285,-0.32575,-8.549194,597.7968,0.4711525,73.32056,248
"2022-11-20 02:30:06.3",1106409927,3.12375,0.3175,0.03525,-8.61731,597.7411,0.4770395,73.26953,248
"2022-11-20 02:30:06.4",1106409928,3.04,0.5485,0.277,-8.65625,597.8904,0.473943,73.29552,248
"2022-11-20 02:30:06.5",1106409929,2.71525,0.65025,-0.16925,-8.615692,597.7128,0.4778727,73.29552,248
"2022-11-20 02:30:06.6",1106409930,3.02325,0.40975,-0.1875,-8.594604,597.7709,0.4734405,73.29552,248
"2022-11-20 02:30:06.7",1106409931,2.54425,0.7245001,-0.49675,-8.661133,597.8999,0.4778618,73.29552,248
"2022-11-20 02:30:06.8",1106409932,3.26225,1.13325,-0.19775,-8.549194,597.7878,0.4769805,73.29552,248
"2022-11-20 02:30:06.9",1106409933,2.88275,1.3665,-0.54925,-8.575134,597.7968,0.475828,73.29552,248
"2022-11-20 02:30:07",1106409934,2.7395,1.5685,-0.472,-8.560516,597.8271,0.4741052,73.29552,248
"2022-11-20 02:30:07.1",1106409935,2.78925,1.79325,-0.5375,-8.547546,597.7775,0.4741817,73.29552,248
"2022-11-20 02:30:07.2",1106409936,2.7475,1.08775,-0.9215,-8.541046,597.746,0.472922,73.29552,248
"2022-11-20 02:30:07.3",1106409937,2.386,1.39275,-0.813,-8.531281,597.5807,0.4723615,73.29552,248
"2022-11-20 02:30:07.4",1106409938,2.25825,1.23375,-0.8807501,-8.554047,597.7268,0.4721949,73.29456,248
"2022-11-20 02:30:07.5",1106409939,2.21175,1.036,-0.70175,-8.526459,597.6407,0.47389,73.29552,248
"2022-11-20 02:30:07.6",1106409940,2.46175,1.27075,-0.5035,-8.549194,597.8041,0.4735995,73.29552,248
"2022-11-20 02:30:07.7",1106409941,2.04525,0.8272501,-0.46275,-8.609192,598.0556,0.4784417,73.29552,248
"2022-11-20 02:30:07.8",1106409942,2.227,0.76675,-0.5175,-8.583252,597.947,0.4784972,73.29552,248
"2022-11-20 02:30:07.9",1106409943,3.221,1.237,0.292,-8.654663,598.0221,0.4780705,73.32056,248
"2022-11-20 02:30:08",1106409944,3.01375,1.811,0.124,-8.693573,598.0427,0.4782794,73.32056,248
"2022-11-20 02:30:08.1",1106409945,2.936,1.67325,-0.29825,-8.734131,597.8914,0.4793189,73.32056,248
"2022-11-20 02:30:08.2",1106409946,2.7715,1.661,-1.44325,-8.773102,597.9954,0.4811812,73.32056,248
"2022-11-20 02:30:08.3",1106409947,2.01425,1.611,-0.1425,-8.63031,598.1306,0.4790612,73.32056,248
