"TOA5","9810","CR3000","9810","CR3000.Std.32.03","CPU:CPk_BBSF_EC7m_20190519.CR3","56695","TimeSeriesData"
"TIMESTAMP","RECORD","Ux_CSAT3B","Uy_CSAT3B","Uz_CSAT3B","Ts_CSAT3B","rho_c_LI7500","rho_v_LI7500","P_LI7500","DIAG_LI7500"
"TS","RN","m/s","m/s","m/s","C","mg/m^3","g/m^3","kPa","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-19 22:00:00.1",1106247865,1.158,-0.446,0.397,-9.321075,599.869,0.5871327,73.29456,248
"2022-11-19 22:00:00.2",1106247866,1.32675,-0.654,0.256,-9.207672,599.8889,0.5858895,73.29456,248
"2022-11-19 22:00:00.3",1106247867,1.3225,-0.4545,0.29,-9.282196,599.8461,0.587397,73.29456,248
"2022-11-19 22:00:00.4",1106247868,1.58375,-0.0625,0.47425,-9.16391,599.8565,0.5910671,73.29456,248
"2022-11-19 22:00:00.5",1106247869,1.57475,0.04425,0.16725,-9.16391,599.8685,0.5903248,73.29456,248
"2022-11-19 22:00:00.6",1106247870,0.9332501,0.33875,-0.06425,-9.202759,599.6973,0.5880082,73.29456,248
"2022-11-19 22:00:00.7",1106247871,0.7945001,0.8975,0.7165,-9.267639,599.8289,0.589105,73.29456,248
"2022-11-19 22:00:00.8",1106247872,0.241,0.71375,0.55175,-9.240082,599.7975,0.5860027,73.29552,248
"2022-11-19 22:00:00.9",1106247873,0.96175,0.552,0.8380001,-9.267639,599.6522,0.5878662,73.29456,248
"2022-11-19 22:00:01",1106247874,0.48625,0.41525,0.9720001,-9.366486,599.7933,0.5885457,73.29456,248
"2022-11-19 22:00:01.1",1106247875,0.17275,0.18475,0.9365001,-9.275726,599.4895,0.5871187,73.29456,248
"2022-11-19 22:00:01.2",1106247876,0.282,0.16325,0.4395,-9.290344,599.4812,0.5828403,73.29456,248
"2022-11-19 22:00:01.3",1106247877,0.42925,-0.2745,0.7935001,-9.282196,599.5379,0.5862194,73.29456,248
"2022-11-19 22:00:01.4",1106247878,0.438,0.07775,0.807,-9.251404,599.5324,0.5855203,73.29456,248
"2022-11-19 22:00:01.5",1106247879,0.8915001,0.05375,0.74125,-9.257874,599.6134,0.586912,73.29456,248
"2022-11-19 22:00:01.6",1106247880,0.94925,-0.07175,0.835,-9.293549,599.4796,0.5863913,73.29456,248
"2022-11-19 22:00:01.7",1106247881,0.631,0.6580001,0.47575,-9.303284,599.229,0.5841892,73.29456,248
"2022-11-19 22:00:01.8",1106247882,0.38525,0.7402501,0.23125,-9.241699,599.1901,0.5843149,73.32056,248
"2022-11-19 22:00:01.9",1106247883,0.256,0.3975,0.20125,-9.264343,599.4144,0.5849841,73.29456,248
"2022-11-19 22:00:02",1106247884,0.75775,0.46075,0.2105,-9.17038,599.7856,0.5833562,73.29456,248
"2022-11-19 22:00:02.1",1106247885,1.11275,0.3245,0.31625,-9.270844,599.7439,0.5845838,73.29456,248
"2022-11-19 22:00:02.2",1106247886,1.068,0.37825,0.18225,-9.342163,599.8419,0.5850004,73.29456,248
"2022-11-19 22:00:02.3",1106247887,0.9720001,0.2285,0.0555,-9.287079,599.7964,0.5882573,73.29456,248
"2022-11-19 22:00:02.4",1106247888,0.697,0.05,0.188,-9.256287,599.8573,0.5892397,73.29456,248
"2022-11-19 22:00:02.5",1106247889,0.8142501,0.06225,0.14875,-9.277374,599.8918,0.587944,73.29456,248
"2022-11-19 22:00:02.6",1106247890,0.7927501,0.13025,0.3585,-9.303284,600.0992,0.5928297,73.29456,248
"2022-11-19 22:00:02.7",1106247891,0.85325,0.06,0.35225,-9.277374,600.0956,0.5921337,73.29649,248
"2022-11-19 22:00:02.8",1106247892,0.81225,-0.1615,0.283,-9.300018,600.1982,0.5912554,73.26953,248
"2022-11-19 22:00:02.9",1106247893,0.9120001,-0.15175,0.19,-9.272461,599.8983,0.5886789,73.26953,248
"2022-11-19 22:00:03",1106247894,0.9205,-0.43525,0.3145,-9.261139,600.0576,0.5917404,73.26953,248
"2022-11-19 22:00:03.1",1106247895,0.82675,-0.356,0.225,-9.259521,600.1346,0.5902355,73.29456,248
"2022-11-19 22:00:03.2",1106247896,0.61875,-0.535,0.1645,-9.316254,599.9899,0.5907751,73.29552,248
"2022-11-19 22:00:03.3",1106247897,0.70275,-0.37,0.01,-9.36322,599.8316,0.5879003,73.24353,248
"2022-11-19 22:00:03.4",1106247898,0.5795,-0.47,0.33775,-9.311371,599.9513,0.5905923,73.26953,248
"2022-11-19 22:00:03.5",1106247899,0.27275,-0.54075,-0.10425,-9.330841,599.8535,0.5883658,73.26953,248
"2022-11-19 22:00:03.6",1106247900,0.44725,-0.586,-0.263,-9.377808,600.1228,0.5884953,73.26953,248
"2022-11-19 22:00:03.7",1106247901,0.177,-0.61425,-0.23,-9.335663,600.1033,0.5884,73.26953,248
"2022-11-19 22:00:03.8",1106247902,0.2455,-0.5045,-0.36075,-9.324341,600.1088,0.5906722,73.26855,248
"2022-11-19 22:00:03.9",1106247903,-0.031,-0.5585001,-0.41675,-9.272461,600.1761,0.5873952,73.26855,248
"2022-11-19 22:00:04",1106247904,-0.27275,-0.6612501,-0.6355,-9.254669,600.1933,0.5880629,73.26855,248
"2022-11-19 22:00:04.1",1106247905,-0.34825,-0.4795,-0.511,-9.217377,600.0074,0.5841964,73.29456,248
"2022-11-19 22:00:04.2",1106247906,-0.19175,-0.49075,-1.05075,-9.09256,599.6971,0.5834696,73.29456,248
"2022-11-19 22:00:04.3",1106247907,0.1865,0.19425,-1.0685,-9.181702,599.6986,0.58014,73.29456,248
"2022-11-19 22:00:04.4",1106247908,0.09525,0.403,-1.49275,-9.100677,599.6005,0.5798495,73.32056,248
"2022-11-19 22:00:04.5",1106247909,0.33,0.605,-1.505,-9.18335,599.6931,0.5843737,73.27051,248
"2022-11-19 22:00:04.6",1106247910,0.07375,0.02025,-1.2935,-9.087708,599.8937,0.5856611,73.27051,248
"2022-11-19 22:00:04.7",1106247911,0.245,0.067,-1.1435,-9.063354,599.982,0.5843918,73.27051,248
"2022-11-19 22:00:04.8",1106247912,0.067,0.0855,-0.7215,-9.167114,599.984,0.5873575,73.27051,248
"2022-11-19 22:00:04.9",1106247913,0.2,0.21975,-0.7725,-9.10553,600.0065,0.5868928,73.27051,248
"2022-11-19 22:00:05",1106247914,-0.1,0.102,-0.7295001,-9.194672,599.8802,0.5882695,73.27051,248
"2022-11-19 22:00:05.1",1106247915,-0.142,0.25275,-0.3885,-9.206024,599.8306,0.5868631,73.26953,248
"2022-11-19 22:00:05.2",1106247916,-0.15525,0.1765,-0.5605,-9.100677,599.9103,0.5858799,73.26953,248
"2022-11-19 22:00:05.3",1106247917,-0.58225,0.33575,-0.7945001,-9.298431,599.84,0.5861201,73.26953,248
"2022-11-19 22:00:05.4",1106247918,-0.359,0.451,-0.58675,-9.251404,599.9128,0.586308,73.26953,248
"2022-11-19 22:00:05.5",1106247919,-0.45375,0.34625,-0.61425,-9.189819,599.801,0.5881773,73.26953,248
"2022-11-19 22:00:05.6",1106247920,-0.84675,0.6115,-0.869,-9.358368,599.641,0.5855377,73.26953,248
"2022-11-19 22:00:05.7",1106247921,-1.05925,0.9515001,-0.65925,-9.338928,599.6155,0.5866403,73.26953,248
"2022-11-19 22:00:05.8",1106247922,-0.7970001,0.31975,-0.22625,-9.325989,599.6286,0.5868624,73.26953,248
"2022-11-19 22:00:05.9",1106247923,-0.9547501,0.48425,-0.251,-9.304901,599.3505,0.5859288,73.26953,248
"2022-11-19 22:00:06",1106247924,-0.59575,0.6525,-0.15475,-9.265991,599.4785,0.5853131,73.26953,248
"2022-11-19 22:00:06.1",1106247925,-0.5405,0.4635,0.122,-9.254669,599.563,0.5865887,73.26953,248
"2022-11-19 22:00:06.2",1106247926,-0.38375,0.295,0.2245,-9.254669,599.9375,0.585843,73.26953,248
"2022-11-19 22:00:06.3",1106247927,-0.5190001,0.01275,0.24025,-9.261139,599.9297,0.5863196,73.26953,248
"2022-11-19 22:00:06.4",1106247928,-1.06725,0.1405,-0.01025,-9.262787,599.4126,0.5829809,73.26953,248
"2022-11-19 22:00:06.5",1106247929,-0.62275,0.16225,0.19975,-9.248169,599.1781,0.5858811,73.26953,248
"2022-11-19 22:00:06.6",1106247930,-0.86225,-0.5732501,0.028,-9.298431,599.45,0.5849057,73.29456,248
"2022-11-19 22:00:06.7",1106247931,-0.557,-0.38025,0.0265,-9.291901,599.4907,0.5855801,73.26953,248
"2022-11-19 22:00:06.8",1106247932,-0.7780001,-0.14625,-0.02825,-9.285431,599.3122,0.5836655,73.29456,248
"2022-11-19 22:00:06.9",1106247933,-0.7270001,-0.648,-0.2925,-9.293549,599.3911,0.5844208,73.29456,248
"2022-11-19 22:00:07",1106247934,-0.7722501,-0.4775,0.16775,-9.298431,599.5478,0.583868,73.29456,248
"2022-11-19 22:00:07.1",1106247935,-0.928,-0.679,0.046,-9.16391,599.6983,0.5872557,73.26855,248
"2022-11-19 22:00:07.2",1106247936,-1.0005,-0.63675,0.02825,-9.249817,599.7437,0.5853308,73.27051,248
"2022-11-19 22:00:07.3",1106247937,-0.978,-0.60075,0.1605,-9.147675,599.6535,0.5866359,73.27051,248
"2022-11-19 22:00:07.4",1106247938,-0.63525,-0.5025,0.2425,-9.227112,599.5316,0.5843133,73.27051,248
"2022-11-19 22:00:07.5",1106247939,-0.41625,-0.5705,0.2325,-9.178497,599.7805,0.5858781,73.26953,248
"2022-11-19 22:00:07.6",1106247940,-0.35325,-0.65825,0.06175,-9.189819,599.7532,0.5831552,73.26953,248
"2022-11-19 22:00:07.7",1106247941,-0.33825,-0.68875,0.20725,-9.146027,599.5985,0.5840754,73.24353,248
"2022-11-19 22:00:07.8",1106247942,-0.5625,-0.6215,0.58075,-9.184967,599.4237,0.582881,73.29552,248
"2022-11-19 22:00:07.9",1106247943,-0.64025,-0.23125,0.40725,-9.225464,599.2798,0.5839983,73.29552,248
"2022-11-19 22:00:08",1106247944,-0.63875,-0.263,0.30175,-9.087708,599.2623,0.583599,73.29552,248
"2022-11-19 22:00:08.1",1106247945,-0.47675,-0.5805,0.03325,-9.04718,599.3035,0.5836922,73.26855,248
"2022-11-19 22:00:08.2",1106247946,-0.4725,-0.44375,-0.12475,-9.068207,599.5466,0.5820062,73.26855,248
"2022-11-19 22:00:08.3",1106247947,-0.2475,-0.2895,-0.0265,-9.00177,599.4984,0.5812029,73.26953,248
